Z,N,symbol,energy ,, jp,
12,13,Mg,8532,,3.5,7
12,13,Mg,8548,,2.5,5
12,13,Mg,8551,,5.5,11
12,13,Mg,8552,,0.5,1
12,13,Mg,8559.1,,2.5,5
12,13,Mg,8569.8,,1.5,3
12,13,Mg,8579.8,,1.5,3
12,13,Mg,8597,,1.5,3
12,13,Mg,8656,,3.5,7
12,13,Mg,8811,,4.5,9
12,13,Mg,8834.9,,0.5,1
12,13,Mg,8869.5,,0.5,1
12,13,Mg,8888,,3.5,7
12,13,Mg,8894.4,,1.5,3
12,13,Mg,8896,,3.5,7
12,13,Mg,8971.2,,2.5,5
12,13,Mg,9013,,3.5,7
12,13,Mg,9014.4,,0.5,1
12,13,Mg,9410,,4.5,9
12,13,Mg,9685,,3.5,7
12,13,Mg,9947,,7.5,15
12,13,Mg,10618,,1.5,3
12,13,Mg,10653,,7.5,15
12,13,Mg,11725,,0.5,1
12,13,Mg,12898,,0.5,1
13,13,Al,0,,5,
13,13,Al,228.305,,0,
13,13,Al,416.852,,3,
13,13,Al,1057.739,,1,
13,13,Al,1759.034,,2,
13,13,Al,1850.62,,1,
13,13,Al,2068.86,,4,
13,13,Al,2069.47,,2,
13,13,Al,2071.64,,1,
13,13,Al,2365.15,,3,
13,13,Al,2545.367,,3,
13,13,Al,2660.92,,2,
13,13,Al,2740.03,,1,
13,13,Al,2913.4,,2,
13,13,Al,3073.63,,3,
13,13,Al,3159.889,,2,
13,13,Al,3402.65,,5,
13,13,Al,3507.63,,6,
13,13,Al,3596.34,,3,
13,13,Al,3674.92,,4,
13,13,Al,3680.68,,3,
13,13,Al,3723.81,,1,
13,13,Al,3750.9,,2,
13,13,Al,3753.63,,0,
13,13,Al,3921.96,,7,
13,13,Al,3962.83,,3,
13,13,Al,3977.91,,0,
13,13,Al,4191.92,,3,
13,13,Al,4205.86,,4,
13,13,Al,4349.34,,3,
13,13,Al,4430.72,,2,
13,13,Al,4480.48,,0,
13,13,Al,4547.92,,2,
13,13,Al,4599.17,,3,
13,13,Al,4622.38,,2,
13,13,Al,4705.37,,4,
13,13,Al,4773.35,,4,
13,13,Al,4939.64,,1,
13,13,Al,4940.79,,5,
13,13,Al,4952.3,,3,
13,13,Al,5006.66,,2,
13,13,Al,5010.24,,1,
13,13,Al,5131.93,,4,
13,13,Al,5141.68,,2,
13,13,Al,5195.11,,0,
13,13,Al,5245.28,,4,
13,13,Al,5395.53,,4,
13,13,Al,5431.23,,1,
13,13,Al,5456.71,,3,
13,13,Al,5461.87,,0,
13,13,Al,5487.93,,5,
13,13,Al,5494.51,,2,
13,13,Al,5513.48,,4,
13,13,Al,5544.56,,2,
13,13,Al,5569.16,,4,
13,13,Al,5584.99,,1,
13,13,Al,5598.3,,2,
13,13,Al,5671.04,,1,
13,13,Al,5676.07,,4,
13,13,Al,5692.15,,3,
13,13,Al,5726.38,,4,
13,13,Al,5849.21,,2,
13,13,Al,5882.65,,3,
13,13,Al,5916.1,,2,
13,13,Al,5924.19,,4,
13,13,Al,5949.93,,1,
13,13,Al,6028.02,,1,
13,13,Al,6084.07,,5,
13,13,Al,6086.47,,1,
13,13,Al,6120.01,,4,
13,13,Al,6197.56,,1,
13,13,Al,6238.4,,1,
13,13,Al,6254.06,,3,
13,13,Al,6270.19,,1,
13,13,Al,6280.33,,3,
13,13,Al,6343.46,,3,
13,13,Al,6363.99,,3,
13,13,Al,6398.64,,1,
13,13,Al,6414.46,,0,
13,13,Al,6436.44,,3,
13,13,Al,6495.94,,3,
13,13,Al,6550.68,,4,
13,13,Al,6598.32,,5,
13,13,Al,6610.4,,3,
13,13,Al,6680.45,,2,
13,13,Al,6695,,7,
13,13,Al,6724.25,,4,
13,13,Al,6783.79,,2,
13,13,Al,6789.3,,3,
13,13,Al,6801.12,,3,
13,13,Al,6801.6,,1,
13,13,Al,6815.74,,6,
13,13,Al,6817.86,,4,
13,13,Al,6851.5,,2,
13,13,Al,6874.29,,1,
13,13,Al,6875.73,,2,
13,13,Al,6891.7,,6,
13,13,Al,6936.2,,1,
13,13,Al,6964.48,,3,
13,13,Al,7000.91,,2,
13,13,Al,7015.01,,5,
13,13,Al,7051.22,,3,
13,13,Al,7085.97,,1,
13,13,Al,7092.78,,2,
13,13,Al,7108.71,,4,
13,13,Al,7141.8,,2,
13,13,Al,7152.84,,3,
13,13,Al,7160.97,,3,
13,13,Al,7167.65,,4,
13,13,Al,7198.44,,1,
13,13,Al,7222.42,,5,
13,13,Al,7237.68,,3,
13,13,Al,7253.6,,2,
13,13,Al,7285.62,,0,
13,13,Al,7291.33,,4,
13,13,Al,7308.22,,2,
13,13,Al,7347.89,,4,
13,13,Al,7366.25,,5,
13,13,Al,7396.92,,2,
13,13,Al,7398.7,,3,
13,13,Al,7409.62,,4,
13,13,Al,7425.07,,4,
13,13,Al,7439.5,,0,
13,13,Al,7444.16,,1,
13,13,Al,7455.34,,1,
13,13,Al,7464.44,,3,
13,13,Al,7495.38,,3,
13,13,Al,7497,,2,
13,13,Al,7529.26,,6,
13,13,Al,7539.52,,2,
13,13,Al,7548.2,,5,
13,13,Al,7557.56,,2,
13,13,Al,7561.2,,2,
13,13,Al,7591.55,,4,
13,13,Al,7596.06,,5,
13,13,Al,7604.8,,2,
13,13,Al,7622.68,,1,
13,13,Al,7627.52,,5,
13,13,Al,7647.8,,1,
13,13,Al,7761.84,,3,
13,13,Al,7772.25,,3,
13,13,Al,7773,,1,
13,13,Al,7813.63,,1,
13,13,Al,7824.66,,4,
13,13,Al,7831.61,,4,
13,13,Al,7865,,2,
13,13,Al,7874.29,,3,
13,13,Al,7879.6,,1,
13,13,Al,7891.17,,4,
13,13,Al,7921.27,,5,
13,13,Al,7938.79,,3,
13,13,Al,7953.35,,4,
13,13,Al,7982,,2,
13,13,Al,8000.63,,1,
13,13,Al,8008.08,,2,
13,13,Al,8011,,5,
13,13,Al,8046.64,,3,
13,13,Al,8064,,2,
13,13,Al,8067,,5,
13,13,Al,8116,,3,
13,13,Al,8130,,1,
13,13,Al,8131,,3,
13,13,Al,8164,,1,
13,13,Al,8174,,3,
13,13,Al,8186,,4,
13,13,Al,8227,,4,
13,13,Al,8249,,2,
13,13,Al,8256,,4,
13,13,Al,8261,,3,
13,13,Al,8272,,2,
13,13,Al,8294,,3,
13,13,Al,8310,,2,
13,13,Al,8347,,3,
13,13,Al,8602,,5,
13,13,Al,8747,,6,
13,13,Al,9311,,3,
13,13,Al,9960,,5,
13,13,Al,9986,,7,
13,13,Al,10660,,6,
13,13,Al,13570,,1,
13,13,Al,13910,,6,
13,14,Al,0,,2.5,5
13,14,Al,843.76,,0.5,1
13,14,Al,1014.56,,1.5,3
13,14,Al,2212.01,,3.5,7
13,14,Al,2734.9,,2.5,5
13,14,Al,2982,,1.5,3
13,14,Al,3004.2,,4.5,9
13,14,Al,3680.4,,0.5,1
13,14,Al,3956.8,,1.5,3
13,14,Al,4054.6,,0.5,1
13,14,Al,4410.2,,2.5,5
13,14,Al,4510.3,,5.5,11
13,14,Al,4580,,3.5,7
13,14,Al,4811.6,,2.5,5
13,14,Al,5155.6,,1.5,3
13,14,Al,5248,,2.5,5
13,14,Al,5419.9,,4.5,9
13,14,Al,5432.8,,3.5,7
13,14,Al,5438.4,,2.5,5
13,14,Al,5499.8,,5.5,11
13,14,Al,5550.9,,2.5,5
13,14,Al,5667.3,,4.5,9
13,14,Al,5751.6,,0.5,1
13,14,Al,5827,,1.5,3
13,14,Al,5960.3,,3.5,7
13,14,Al,6080.8,,1.5,3
13,14,Al,6115.8,,2.5,5
13,14,Al,6158.4,,1.5,3
13,14,Al,6284.7,,3.5,7
13,14,Al,6462.8,,2.5,5
13,14,Al,6477.3,,3.5,7
13,14,Al,6512.2,,4.5,9
13,14,Al,6533,,3.5,7
13,14,Al,6605.1,,1.5,3
13,14,Al,6651.3,,2.5,5
13,14,Al,6713,,4.5,9
13,14,Al,6765,,2.5,5
13,14,Al,6776.3,,1.5,3
13,14,Al,6813.8,,0.5,1
13,14,Al,6820.7,,1.5,3
13,14,Al,6947.9,,5.5,11
13,14,Al,6992.9,,2.5,5
13,14,Al,6996,,0.5,1
13,14,Al,7071.3,,0.5,1
13,14,Al,7173.6,,4.5,9
13,14,Al,7227.2,,4.5,9
13,14,Al,7280,,0.5,1
13,14,Al,7289,,4.5,9
13,14,Al,7400,,5.5,11
13,14,Al,7413,,3.5,7
13,14,Al,7443,,4.5,9
13,14,Al,7477.1,,3.5,7
13,14,Al,7550,,1.5,3
13,14,Al,7578,,2.5,5
13,14,Al,7660,,3.5,7
13,14,Al,7676.5,,1.5,3
13,14,Al,7679,,3.5,7
13,14,Al,7721,,2.5,5
13,14,Al,7798,,1.5,3
13,14,Al,7806,,3.5,7
13,14,Al,7858,,1.5,3
13,14,Al,7900,,2.5,5
13,14,Al,7948,,4.5,9
13,14,Al,7997,,4.5,9
13,14,Al,8037,,3.5,7
